reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
ES-DIR3-E04585801,maec,Bilateral,Spain - Ministry of Foreign Affairs and Cooperation,, ,,,#N/A,ES,,Government,Spain - Ministry of Foreign Affairs and Cooperation,
NZ-1,mfat,Bilateral,New Zealand - Ministry of Foreign Affairs and Trade,,C2D2,Yes,Yes,2021,NZ,820,Government,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,New Zealand
SE-0,sida,Bilateral,Sweden,,C2D1,Yes,Yes,2021,SE,10,Government,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden
XM-DAC-576,mofaic_uae,Bilateral,UAE - Ministry of Foreign Affairs,, ,,,2019,AE,,Government,Ministry of Foreign Affairs - United Arab Emirates (UAE),
XM-OCHAS-HPC6770,,,,,,,,,,,,,
US-18,millenniumchallenge,Bilateral,US - Millennium Challenge Corporation,MCC,C0D0,Yes,Yes,2021,US,302*18,Government,Millennium Challenge Corporation,US
GB-COH-03877777,cdc,Bilateral,UK - CDC,CDC, ,,,2018,GB,,Other Public Sector,CDC Group plc,
GB-GOV-52,cssf,Bilateral,"UK - Conflict, Stability and Security Fund",, ,,,2019,GB,,Government,"Conflict, Stability and Security Fund",
GB-GOV-50,prosperityfund,Bilateral,UK - Cross-Government Prosperity Fund,, ,,,2019,GB,,Government,Cross-Government Prosperity Fund,
US-GOV-1,usaid,Bilateral,US - US Agency for International Development,USAID,C2D2,Yes,Yes,2021,US,302*1,Government,United States Agency for International Development (USAID),US
GB-GOV-12,dcms,Bilateral,"UK - Department for Digital, Culture, Media and Sport",, ,,,2019,GB,12*12,Government,"UK - Department for Digital, Culture, Media and Sport",
GB-GOV-14,dfe,Bilateral,UK - Department for Education,, ,,,2018,GB,,Government,UK ��� Department for Education,
GB-GOV-7,defra_transparency,Bilateral,"UK - Department for Environment, Food and Rural Affairs",DEFRA,C0D0,,,2020,GB,12*7,Government,"UK - Department for Environment, Food and Rural Affairs",
